acioaie|кукерско комплект на звънци|șir de clopote purtat de cuci
altân|злато|aur, galbeni
averche|приятелче|prietenaș
banuvi|пари|bani
bașca|башка|separat, deoparte
bărgi|бързо|repede
băsmă|шалче|basma
beal|бял|alb
bleaf, bleau|лошо|prost
botă|кофа|doniță, cofă
bulcă|булка|mireasă
bule|леля|tanti
buleșe|боли|a durea
bulnao(f)|болен|bolnav
bugă|бик|taur
bușenați|здрави,eдъри|voinici
buză|буза|obraz
||
cacică|чаша|putină
canciu|чаша|cană
căpina|къпина|mure
cată|целия|toată
căc|как|cum
căcotu|каквото|ceea ce.., tot ce..
călesnic|човек канещ за сватба|vornic
căru|поле|câmp
căt,cue|кога|când
cămtu|към|la,spre
cercovă|църква|biserică
ciciu|чичо|unchi
cileac|съпруг|soț
ciupag|елек|ilic
cladențu|кладенец|puț
clența|игра с пръчки|joc cu bețe
chitca|китка|manșetă,încheietura mâinii
colade|коледни песни|colinde
cotel|медена кофа|căldare de aramă
coledar|коледар|colindător
cracă|клон|creangă
cucuregi|миризлива теменуга|micșunele
cue|на което|al cui
cuzuleț|козичк|ied
cumșia|съсед|vecin
cughite|когато|când
doru|двор|curte
dărvo|дърво|lemn
dărti|старите|bătrânii
dă purăste|да расте|să crească
du scoru|до скоро|pe mai târziu
drăfțe|малко дърво|lemnișor
dumă|дума|cuvânt
(căc se) dumă|(как се) казва|cum se spune
dunel|донесъл|adus
dunțe|донесе|a aduce
dur|до|până la
erghenaș|момче 12-16 години|flăcău, adolescent
fărcă|хвърчи|a zbura
fărli|хвърли|a azvârli
gălăb|царевица|porumb
gălăbiște|нива с царевица|porumbiște
gâlci|amigdale|Гълки
gârlici|стълбището за мазата|chepeng, scară de pivniță
gileaz|ограда|gard
ghet|който|care
gnezdu|гнездо|cuib
golub|гълъб|porumbel
gredi|греди|grinzi
gudim|сло̀жа|a pune
guino|лайно|căcat
guglă|царевичак грамада|glugă de coceni
guleam|голям|mare
gură|гора|pădure
guvetă|говеда|vite
iasnu|ясно|clar
